Umwanditsi 1 Oliver yakubise Mr.,Narrator 1 Oliver hits Mr
Kunyunyuza amasuka,Bumble with his shovel
Oliver Twist aragerageza kunyica,Oliver Twist is trying to murder me
Umuhanzi Dodger amusanga munsi yikarito,Artful Dodger finds him under a cart
Ubuhanzi bwa Dodger Guhunga,Artful Dodger Running away
Urajya he?,Where are you going
Oliver Ntabwo nzi,Oliver I do nt know
Amaherezo yiga ibya Oliver,Finally he learns about Oliver
Fagin Ntakibazo,Fagin No problem
Nzahembwa ryari,When will I get paid
Abihaye Imana Nyuma yuko akazi karangiye,Monks After the job is done
Ndaguha iyi baruwa,I ll give you this letter
Data yabyanditse hashize imyaka icyenda,My father wrote it nine years ago
Byerekana ko umuhungu ari umwana we,It proves the boy is his child
Fagin Yishimiye guhura nawe,Fagin Pleased to meet you
Tuzahora tugushaka,We will always find you
Oliver Yego nyagasani,Oliver Yes sir
Noneho isomo ryawe rya mbere,Now for your first lesson
Wibwe gusa,You ve just been robbed
Dodger yubuhanzi yerekana Oliver,Artful Dodger points to Oliver
Dodger Yubuhanzi Ariho,Artful Dodger There he is
Ni umujura,He s the thief
Umugani wa 1 Abapolisi bafashe Oliver,Narrator 1 The police grab Oliver
Ntacyo nibye,I did nt steal anything
Umunyamategeko Brownlow yashinzwe mu rubanza rwe,Lawyer Brownlow is assigned to his case
Brownlow Ntugukora,Brownlow Do nt you
Fagin Yarakubonye,Fagin Got you
Oliver Oya,Oliver No please
Ngomba kugenda,I have to go
Brownlow azatekereza ko nabibye,Brownlow will think I stole them
Oliver Nibyiza cyane,Oliver It s very nice
Oliver Oya,Oliver Oh no
Fagin Ntabwo ari umuhungu wanjye gusa,Fagin Not just us my boy
Ugiye gufasha,You re going to help
Rose na Brownlow biruka mu ngazi,Rose and Brownlow run down the stairs
Rose It Oliver,Rose It s Oliver
Oliver Nyamuneka ntugirire nabi Madamu,Oliver Please do nt hurt me Mrs
Yantumye kumena,He made me break in
Rose Reka s kumujyana hejuru,Rose Let s take him upstairs
Abihaye Imana Noneho byagenze bite,Monks So what happened
Bafashe umuhungu,Did they catch the boy
Batekereza ko ari umujura,Do they think he s a thief
Fagin Ntabwo nzi,Fagin I do nt know
Ashobora kuba yarapfuye,He might be dead
Abamonaki ngomba kubimenya,Monks I have to know
Turasubirayo muri iri joro,We re going there tonight
Babona Oliver na Rose,They see Oliver and Rose
Fagin Ariho,Fagin There he is
Ntabwo nabibwira,I ca nt tell
Rose avuza induru iyo amenye Abamonaki,Rose screams when she recognizes Monks
Oliver Kandi undi ni Fagin,Oliver And the other one is Fagin
Brownlow Amafaranga ya se,Brownlow His father s money
Ah ndabyumva ubu,Ah I understand now
Abihaye Imana Ntaco bigaragaza,Monks It proves nothing
Fagin Iyi baruwa irakora,Fagin This letter does
Bituruka kuri se w'umuhungu,It s from the boy s father
Oliver Bisobanura iki,Oliver What does it mean
Kandi Abamonaki ni murumuna wawe,And Monks is your half brother
Oliver Urashaka kuvuga ko uri umuryango wanjye,Oliver You mean you are my family
Ninkaho ari inzozi,It s like a dream come true
Abavuga 2 Abamonaki na Madamu,Narrator 2 Monks and Mrs
Leeford asubira i Paris,Leeford return to Paris
Ntibazongera kubona Oliver,They never see Oliver again
Brownlow aho yishimye kandi akunzwe,Brownlow where he is happy and loved
Ariko bose bagiye imbere,But they d all gone inside
Farr yabuze imiterere yaburana,Farr lacked a litigious nature
Yagaragaje ko yanditseho ikilatini,He identified them labeled them in Latin
Kandi ntabwo ari kumwe numukuru,And not with a grand man either
Rwose ntabwo ari kuri we,Certainly not at her
Twongeye ku nkombe,We re on the coast
Ntabwo agomba kwitotomba,Still she must nt complain
Ntabwo yari yarigeze aba kure,She had never been that far away
Birashobora kuduha ibibazo,Could give us trouble
Ifarashi irarwana iranyeganyega,The horse struggled and faltered
Icyo gihe ni bwo yafashe urundi ruhande,Only then did he take the other end
Ntushobora kumubabaza,You ca nt hurt her
Ariko ntukamureke ngo agutere,But do nt let her nip you
Ntibari bakeneye ifarashi,They had no need for a horse
Ese iyi brute iruma,Would this brute really bite
Bates yinjiye inyuma yikibaho atangira gusunika,Bates got behind the buckboard and started pushing
Uduce twinshi twiziritse ku mwenda no mu maso,Great clots stuck to her skirt and face
Bates arwanira ibirenge,Bates struggling to his feet
Uruhu rwikirere rwasaga nkibidasanzwe,The weathered skin looked oddly like a mask
Byari bihagije kuba hanze,It was enough to be out of there
Nabonaga gato kuri njye,Seemed a bit peaked to me
Yaje kuba Bwana,He turned out to be Mr
Bates na kimwe cya kabiri cyubwenge bari barokotse,Bates and the half wit were the survivors
Ntabwo yigeze yitotomba,Still she never complained
Yashushanyijeho inyuma ye nk'imbwa,He tagged along after her like a puppy
Byari uruhande rushyushye rwa Bwana,It was a warm side of Mr
Bates rwose ntazwi nabandi,Bates surely not known to others
Mbega itandukaniro nubuzima bwagarutse muri Codman,What a contrast with life back in Codman
Nta n'izina rya malariya,Not even a name for the malady
Hana afite imyaka gusa,Just age Hannah concluded
Crooker ategura gushyingura no gushyingura,Crooker arranging for the funeral and burial
Iyi nkunga yari imana kuva Bwana,This support was a godsend since Mr
Ndetse urugendo rwe rwatinze,Even his walk was slowed
Ahari nshobora gutekereza gukora kuri Mill,Perhaps I should consider working at the Mill
Hana yakoze ibishoboka byose kugirango agume atagaragara,Hannah did her best to remain invisible
Ndetse yamennye umuhoro,He even broke his chalk
Yagombaga kumuha agashya,She had to give him a fresh one
Niba atari nt hariya Bwana,If she were nt there would Mr
Kandi nigute yabwira Salomo?,And how would she ever tell Solomon
Byaba urupfu rwa kabiri kuri we,It would be a second death for him
Niba atari wenyine noneho na we,If not by him then by her
Nta kintu na kimwe yari atunze,She owned practically nothing
Yarebye bwa nyuma hirya no hino,She took one last look around
Ibintu byose byagombaga kurangirira mugihe runaka,Everything had to end at some point
Amabati akanyerera,Bates and slip away
Inyandiko ngufi kandi yubupfura,A brief and courteous note
Yamushimira kubwineza ye,She would thank him for his kindness
Ubundi Salomo yakumva ate,How else would Solomon understand
Ubutumwa nk'ubwo bwari bworoshye ku mpapuro,Such messages were easier on paper
Ariko oya ntabwo yashoboye gukora ibyo,But no she could nt do that
Yagomba kubaza Bwana,She would have to ask Mr
Amabati kugirango akubite ikibaho,Bates to hitch up the buckboard
Igitangaje nuko atakiriho,Surprisingly he was no longer there
Yarangiye hanze,He was over by the outhouse
Yari akwiye gutekereza,She should have guessed
Nta na rimwe mu buzima bwanjye bwose,Never in all my life
Nashakaga kuvuga akazi kanjye hano,I meant my employment here
Bates yo gutekereza,Bates for thinking
Iragukunda cyane,He s very fond of you
Kandi ikibanza gikeneye kwitabwaho numugore,And the place needs a woman s care
Natekerezaga ko ushobora kuguma,I thought perhaps you d stay
Bates re,Bates you re
Ndashaka kuvuga ko m mfite imyaka mike,I mean I m barely of age
Nkumuswa ntiyagira icyo avuga,Like an idiot she was speechless
Ikintu kidasanzwe cyari cyarabaye,Something extraordinary had happened
Niba rwose ntacyo yavuze,Had she really said nothing
Ni iki yari akwiye kuvuga,What should she have said
Iyaba rwose byari icyifuzo cyo gushyingirwa,Had that truly been a proposal of marriage
Nigute ashobora kubivuga,How could she phrase it
Bates yansabye kurongora,Bates has proposed marriage to me
Hanyuma arigendera,And then he was gone
Bates yagarutse nyuma ya saa sita imvugo ye yari yoroshye,Bates returned that afternoon his expression was lighter
Kandi wambare Salomo mu ikositimu ye,And dress Solomon in his church suit
Tugiye kugira uruganda rwicyayi,We re going to have company for tea
Mfite igihe kinini?,Do I have much time
"Muri we, ubwoba bwinshi bwamurenze",A flash of panic passed through her
Ntabwo bigeze bagira abantu icyayi,They never had folks for tea
Bates yavugije induru adakinguye,Bates shouted without opening the door
Minisitiri n'umugore we,The minister and his wife
Niki gihome Kandi agomba gukora ate,What fort And how should she act
Ariko nta mwanya wo gutekereza,But there was no time to think
Umugore we yari oppositeshort kandi ikomeye,His wife was the oppositeshort and solid
Ibyo ku isi byari bifite Bwana,What on earth had Mr
Bates ntabwo yabyemera,Bates would nt agree
Bigaragara ko yakoze a,It appears he has made a
Ariko haracyari ikibazo kimwe gisigaye,But there is still one remaining question
Umukene s asigaye yimanitse,The poor man s been left hanging
Aceceka gato,She took a deep breath
Ndetse n'ubukwe ubwabwo bwateguwe na Madamu,So even the wedding itself was prepared by Mrs
Ariko baritwaye,But they behaved themselves
Nyina wa Hana yasaga naho akomeye kandi yirwanaho,Hannah s mother seemed stiff and defensive
Hana yashoboraga kubarasa,Hannah could have shot them
Ukuboko kwe kwagiye kumusaya aho Mr.,Her hand went to her cheek where Mr
Bates yari yamusomye aho ngaho kumugaragaro,Bates had kissed her right there in public
Yakinguye umuryango w'inyuma kwa Bwana,She opened the back door for Mr
Kandi nabonye imitego ikeneye gukosorwa,And I ve got traps that need mending
Ndacyafite amasaha atatu yumucyo,I ve still got three hours of light
Uretse ko twari duhuze,Except we were busy
Yafashe umukunzi we,She took up her darning
Ndashaka kuvuga ko ngomba,I mean should I
Agomba kubivuga,Must she say it
Ntibyari byiza,It was stark unadorned
Yategereje igihe,She waited tense
Fee fi fo fum,Fee fi fo fum
Nunva amaraso ya Englishmun,I smell the blood of an Englishmun
Amaraso ye ni yo yunukaga,It was her blood he smelled
Ntiyari yazimye itara,He had not extinguished the lamp
Yari yicaye gusa,He was just sitting there
Birashoboka,A bit churlish perhaps
Ibi nibyo byari kuza ubutaha,This was what would come next
Ibindi bigomba kuza ubutaha,More it must come next
Ashobora no kumubura,She might even lose him
Yafashe urutugu arikwega,She grabbed his shoulder tugging
Byagombaga kubabaza kugirango tubare,It had to hurt in order to count
Hanyuma yari akiri,Then he was still
Uburemere bukomeye kumuhumeka cyane,A great weight on her breathing hard
Ibyo bigomba kuba impera yabyo,That must be the end of it
Ariko ntiyigeze agira ishyari,But she felt no jealousy
Byarangwa iteka kwibutsa,It would be marked forever a reminder
Salomo arasaba ubufasha,Solomon s cry for help
Hanyuma aramusoma ijoro ryiza,Then she kissed him goodnight
Ibi nibyo abagabo n'abagore bakora hamwe,This is what men and women do together
Iri ni ryo banga basangiye,This is the secret they share
Ninde wandika ibi bitabo uko byagenda kose,Who writes these textbooks anyway
Urashobora kuba umunyamategeko wenda umucungamari,Could be a lawyer maybe an accountant
Kuki winjiye mu nzu yanjye?,Why did you walk right into my house
Ugomba kumva amajwi acuramye,You must ve heard the faint popping sound
Ntabwo mfite ibibazo bihagije,I do nt have enough problems
Ni amarozi yirabura,It s black magic
Whitlock vuga cyangwa Peter F.,Whitlock say or Peter F
Niki waje gukusanya,What did you come to collect
Isonga eshatu zasezeranije Willis,Three tops promised Willis
Nta gushidikanya kuri Pete,No doubt about that Pete
Uwo yari Jennifer Windmiller,That was Jennifer Windmiller
Cyangwa byibuze kubahagarika umwanya muto,Or at least stalling them for a while
Inzira rimwe na rimwe birababaje gutandukanya ibitotsi,Trances sometimes unfortunately segue into naps
Igishusho gito cyagaragaye muri cyo,A tiny figure appeared within it
Aba muri Santa Morgana California,She resides in Santa Morgana California
Yumvaga ashyushye cyane mu ntoki,It felt extremely hot in his hands
Umwana uryoshye nubwo mite umunyu,A sweet child though a mite salty
Sanson akaba atuye mu majyaruguru ya California,Sanson and residing in Northern California
Batsford hamwe no kurinda ubupfumu,Batsford along for occult protection
Nanze aho hantu,I loathe the place
Wanga Californiya umuhungu wanjye,Hate California my boy
Ibyo byatuma umuntu uwo ari we wese ahangayika kandi atuje,That would make anybody anxious and uneasy
Ntabwo byababaza kumvira inama ze,It would nt hurt to heed his advice
Moteri yasubiye mu buzima,The engine returned to life
Cyangwa yari Bosko,Or was it Bosko
Nzagerageza kubigerageza,I ll make a try at it
Nta kamaro ko guhungabanya icyumba icyo ari cyo cyose,No use messing up any of the rooms
Jennifer yariye undi mutini newton,Jennifer ate another fig newton
Hakurikiraho urusaku rwinshi,Next came an echoing thump
Yashyize ubuzima bwe mu kaga,He risked a look
Noneho genda wihishe,Now go hide again
Icyumba nacyo cyariyongereye cyane,The room was growing increasingly hot too
Umwotsi mwinshi w'umuhondo wasakaga hirya no hino,Thick yellow smoke was billowing all around
Kandi wongeye kuvuga nabi Nrgyzb,And you re mispronouncing Nrgyzb
Umudugudu wa Blunderstone Ubwongereza 1812,Village of Blunderstone England 1812
David Copperfield Ntekereza,David Copperfield I think
Betsey Miss Betsey Trotwood,Betsey Miss Betsey Trotwood
Clara Umugabo wanjye wumukene s nyirasenge,Clara My poor husband s aunt
Nabwiye mwishywa wanjye ko wari muto cyane,I told my nephew you were too young
Clara Umugabo wanjye yarapfuye,Clara My husband is dead
Ni ryari utegereje kubyara uyu mwana,When do you expect to have this baby
Ndumva mfite ubwoba bwinshi,I feel so frightened
Nzi neza ko nzapfa,I m sure I shall die
Yumva atameze neza,She s feeling unwell
Nzahamagara umuganga maam,Shall I call the doctor maam
Clara arahumeka Yego,Clara gasps Yes
Noneho nyuma yo kubyara umukobwa wawe,Now after the birth of your girl
Clara AhariOWa umuhungu,Clara PerhapsOWa boy
Betsey Bizaba umukobwa,Betsey It will be a girl
Clara Nyamuneka SHAKA umuganga,Clara PleaseOW the doctor
Muganga Ndabashimye maam,Doctor My congratulations maam
Uruhinja rwatanzwe,The baby is safety delivered
Betsey Nibyiza,Betsey Oh good
Umuringa uroroshye,Copperfield is quite comfortable
Ni Miss Trotwood,She is a he Miss Trotwood
Betsey UMUHUNGU,Betsey A BOY
Clara Davy vuga igitondo cyiza kuri Mr.,Clara Davy say good morning to Mr
Imyitwarire yawe irihe,Where are your manners
Murdstone Nkunda umwuka we,Murdstone I like his spirit
Ham se yamuhaye iryo zina,Ham s father gave him that name
David Natekereje ko uri se,David I thought you were his father
Dan Murumuna wanjye Joe washis se,Dan My brother Joe washis father
David Numuvandimwe wawe yapfuye Mr.,David Is your brother dead Mr
Dan Murumuna wanjye Tom yari se,Dan My brotherinlaw Tom was her father
David Data na we yarapfuye,David My father is dead too
Emily Ndabizi,Emily I know
David Sinigeze mubona,David I never met him
Peggotty igomba kuba umugabo mwiza cyane,Peggotty must be a very good man
Ariko uzaba umunsi witonda,But you ll be a gentleman one day
Baracyahiga,They haunt me still
Ifoto p Clara Davy,Photograph p Clara Davy
Mfite igitangaza kuri wewe,I have a surprise for you
Ufite so mushya,You have a new father
Twunvikana?,Do we understand each other
Noneho oza isura yawe hanyuma umanuke hepfo ya Directiy,Now wash your face and come downstairs directiy
David Ntekereza ko Mama,David I think so Mama
Agomba gukubitwa,He must be flogged
Murdstone Nakunze gukubitwa ubwanjye,Murdstone I have often been flogged myself
Nta kibi byangiriye,It did me no harm
Ufite andi mahirwe,You have another chance
Nkoresha amafaranga angahe,How much do I spend
Sinzi kwicara,I do nt know sit
Murdstone Miss Murdstone inkoni,Murdstone Miss Murdstone the cane
Clara Hagarika Edward,Clara Stop Edward
David Nyamuneka ntugukubite Mr.,David Please do nt beat me Mr
Umva umuhungu wanjye nkunda,Listen to me my darling boy
Ntucike intege,Do nt lose heart
Ntuzigere wibagirwa uburyo Peggotty yawe igukunda,Never forget how much your Peggotty loves you
Peggotty Oya,Peggotty No no
Ntugomba na rimwe kubitekereza,You must never think that
Tungay IBIHANO BYANYU,Tungay YOUR PUNISHMENTS
Shira amaboko yawe hanze y'umuringa,Put your hands out Copperfield
Tungay AMABOKO,Tungay HANDS OUT
Creakle Rero ukunda kuruma,Creakle So you like biting
David Nzarokoka kwicara,David I ll survive sit
Nitwa Steerforth,My name is Steerforth
David Amashiringi arindwi,David Seven shillings
Creakle Nyoko ararembye cyane,Creakle Your mother is very ill
Ararwaye cyane,She is very dangerously ill
Mubyukuri yarapfuye,In fact she s dead
Micawber Wilkins Micawbcr muri serivisi yawe,Micawber Wilkins Micawbcr at your service
Micawber Muri make yego,Micawber In short yes
Micawber yahoraga yizeye amahirwe meza,Micawber were perpetually in hopes of better opportunities
Bootmaker Fungura Micawber,Bootmaker Open up Micawber
Ndimo gusahura umuryango wanjye,I d be robbing my family
Nzaguha bitatu na bitandatu,I ll give you three and six
Amashiringi ane,Awright four shillings
Ariko sinzigera ndamutererana,But I never will deser him
Ntacyo bimaze kumbaza,It s no use asking me
Uruganda rw'abavuga akazi rwarababaje,Narrator Factory work was agony
David Aho ave kumujyana,David Where ave you taking him
Co gereza ya King s Bench,Co stable King s Bench prison
Micawber Izuba rirenze,Micawber The sun is setting
Ntabwo nzabaho ngo ndebe undi museke,I shall not live to see another dawn
Tekereza neza,Think kindly of me
Amezi yo kuvuga inkuru yarashize,Narrator Months passed
Nari umusaka kubura inshuti zanjye,I was desolate to lose my friends
Micawber Mumushakire,Micawber Seek her out
Muraho neza,Farewell good luck
Betsey Genda,Betsey Go away
Betsey Impuhwe kuri twe,Betsey Mercy on us
David Mfite nt nabonye mushiki wanjye,David I have nt got a sister
Betsey Ndabizi,Betsey I know that
Waje mu mwanya we,You came in her place
Dick Uratekereza,Dick You think not
Betsey Birumvikana ko atari,Betsey Of course not
Ntugahagarare aho,Do nt stand there woolgathering
Nzakora iki,What shall I do
Nkwiye kumesa,I should wash him
Belsey Birumvikana,Belsey Of course
Dick adushiraho twese,Dick sets us all right
Dick imyenda ye ifite ibibabi,Dick His clothes have fleas
Betsey Kubitwika,Betsey Burn them
Kandi ni ubuhe bucuruzi yari afite akora ibyo,And what business did she have doing that
Umugabo wanjye yangiriye nabi kandi ubugome,My husband treated me falsely and cruelly
Dick Yapfiriye mu Buhinde,Dick He died in India
Yakandagiye n'inzovu,Trampled by an elephant
Nzakora ubwogero,I shall run the bath
Bukeye we na mushiki we bahageze,He and his sister arrived the next day
Betsey Uruganda ruteye ubwoba,Betsey A horrible factory
Naje gufata umuhungu wanjye,I have come to take my stepson back
David Nyamuneka ntuntume ngenda,David Please do nt make me leave
Nzakora iki uyu mwana,What shall I do with this child
Kuramo ibitekerezo byawe bisanzwe ni ntagereranywa,Dick your common sense is invaluable
Jane ahumura neza,Jane sniffing snidely Well
Jane Ibi ni ubusazi cyangwa ubusinzi,Jane This is either insanity or intoxication
Ifoto p Betsey Umunsi mwiza kandi muraho,Photograph p Betsey Good day and goodbye
